Nome,Tel,tipo,Endereço,Bairro,CEP,Lat,Long,Business Model,Categoria,Contrato,SuperRs,rating,numrating,uuid,Link
Los Burritos,25482815.0,Comida Mexicana,Alameda Ministro Rocha Azevedo,CERQUEIRA CESAR,1410003,-23.565485,-46.663618,Marketplace,Normal,Não Exclusivo,True,4.783780097961426,111,0fe30ed1-58fb-4115-a51c-57b9a2157273,https://www.ifood.com.br/delivery/sao-paulo-sp/los-burritos-cerqueira-cesar/0fe30ed1-58fb-4115-a51c-57b9a2157273
Nacho Libre,23622867.0,Comida Mexicana,Av. Prof. Alfonso Bovero,Perdizes,5019010,-23.53936,-46.683296,Entrega+,Normal,Não Exclusivo,False,4.311930179595947,109,790dff0a-b8f2-41d3-b08c-bd1da35496bd,https://www.ifood.com.br/delivery/sao-paulo-sp/nacho-libre-perdizes/790dff0a-b8f2-41d3-b08c-bd1da35496bd
El Mariachi,40032665.0,Comida Mexicana,RUA DEPUTADO LACERDA FRANCO,PINHEIROS,5418000,-23.560271,-46.692447,Full Service,Normal,Não Exclusivo,False,4.413790225982666,29,a13f8132-7635-4cba-a318-84cf88b58984,https://www.ifood.com.br/delivery/sao-paulo-sp/el-mariachi-pinheiros/a13f8132-7635-4cba-a318-84cf88b58984
La Mexicana,40032665.0,Comida Mexicana,Rua Pereira Estéfano,Vila da Saúde,4144070,-23.617509,-46.638476,Full Service,Normal,Não Exclusivo,False,4.0,1,19791605-22be-4790-8db3-1cbdb2db1633,https://www.ifood.com.br/delivery/sao-paulo-sp/la-mexicana-vila-da-saude/19791605-22be-4790-8db3-1cbdb2db1633
Restaurante la Mexicana,40030053.0,Comida Mexicana,R MINISTRO JESUINO CARDOSO,VILA NOVA CONCEICAO,4544051,-23.592986,-46.682617,Full Service,Normal,Não Exclusivo,False,4.0,4,fbafdeba-4bb2-4891-9571-f22ffeaec042,https://www.ifood.com.br/delivery/sao-paulo-sp/restaurante-la-mexicana-vila-nova-conceicao/fbafdeba-4bb2-4891-9571-f22ffeaec042
Dedo de la Chica,40032665.0,Comida Mexicana,R. Fidalga,PINHEIROS,5432000,-23.558281,-46.688529,Full Service,Normal,Exclusivo,True,4.727270126342773,33,0819f966-3726-4fe2-b63d-ac7a6077ded8,https://www.ifood.com.br/delivery/sao-paulo-sp/dedo-de-la-chica-pinheiros/0819f966-3726-4fe2-b63d-ac7a6077ded8
Viva Mexico,40032665.0,Comida Mexicana,R FRADIQUE COUTINHO,PINHEIROS,5416001,-23.557529,-46.690447,Full Service,Normal,Não Exclusivo,False,0.0,0,b71524c1-caef-46fd-a9d0-18665419922c,https://www.ifood.com.br/delivery/sao-paulo-sp/viva-mexico-pinheiros/b71524c1-caef-46fd-a9d0-18665419922c
Arriba Mexico,951515939.0,Comida Mexicana,Rua Alagoa Nova,PERUS,5202260,-23.401639,-46.743343,Entrega+,Normal,Não Exclusivo,False,0.0,0,3c58f34a-2b6a-4ee5-9919-f99b95e38bcd,https://www.ifood.com.br/delivery/sao-paulo-sp/arriba-mexico-perus/3c58f34a-2b6a-4ee5-9919-f99b95e38bcd
Casa México Sp,40030053.0,Comida Mexicana,RUA TAPEROA,CIDADE MONCOES,4571060,-23.602276,-46.69144,Full Service,Normal,Não Exclusivo,True,4.208330154418945,95,2dff8c2c-b212-401a-b830-ec8070e472f8,https://www.ifood.com.br/delivery/sao-paulo-sp/casa-mexico-sp-cidade-moncoes/2dff8c2c-b212-401a-b830-ec8070e472f8
Tacoburguer Mexicano Loko,40032665.0,Comida Mexicana,AVENIDA DAS NACOES UNIDAS,VILA GERTRUDES,4730090,-23.623562,-46.702154,Full Service,Normal,Não Exclusivo,False,0.0,0,6dc07da6-108f-4396-9a2e-be06480759eb,https://www.ifood.com.br/delivery/sao-paulo-sp/tacoburguer-mexicano-loko-vila-gertrudes/6dc07da6-108f-4396-9a2e-be06480759eb
Saltillo Tex Mex,40032665.0,Comida Mexicana,Avenida Antártica,Água Branca,5003020,-23.526627,-46.674061,Full Service,Normal,Não Exclusivo,False,5.0,1,bc9255f9-1ab2-4370-b550-bfd266391b14,https://www.ifood.com.br/delivery/sao-paulo-sp/saltillo-tex-mex-agua-branca/bc9255f9-1ab2-4370-b550-bfd266391b14
Danina Tex Mex,40030053.0,Comida Mexicana,Avenida Comendador Alberto Bonfiglioli,Jardim Bonfiglioli,5593000,-23.580122,-46.737345,Full Service,Normal,Não Exclusivo,False,0.0,0,624610a8-613f-411f-b47c-e7e036459f68,https://www.ifood.com.br/delivery/sao-paulo-sp/danina-tex-mex-jardim-bonfiglioli/624610a8-613f-411f-b47c-e7e036459f68
Madrugas Comida Mexicana,997807888.0,Comida Mexicana,Rua Ministro Jesuíno Cardoso,Vila Nova Conceição,4544051,-23.593054,-46.682592,Marketplace,Normal,Não Exclusivo,True,5.0,1,7d09ad21-5ad3-46e2-98f7-39e1e0daceec,https://www.ifood.com.br/delivery/sao-paulo-sp/madrugas-comida-mexicana-vila-nova-conceicao/7d09ad21-5ad3-46e2-98f7-39e1e0daceec
Bbq Mex,40032665.0,Comida Mexicana,Rua Maranguape,Vila Sônia,5625150,-23.597383,-46.732379,Full Service,Normal,Não Exclusivo,False,0.0,0,7b01684f-0ecb-424a-817a-71007c7c1b0f,https://www.ifood.com.br/delivery/sao-paulo-sp/bbq-mex-vila-sonia/7b01684f-0ecb-424a-817a-71007c7c1b0f
Taco Bar e Cozinha Mexicana,40030053.0,Comida Mexicana,R GABRIELE D'ANNUNZIO,campo belo,4619005,-23.626004,-46.672034,Full Service,Normal,Não Exclusivo,False,4.758619785308838,29,4147923d-a58a-4920-9641-98df59ca7821,https://www.ifood.com.br/delivery/sao-paulo-sp/taco-bar-e-cozinha-mexicana-campo-belo/4147923d-a58a-4920-9641-98df59ca7821
Guacamole Tex Mex,951772199.0,Comida Mexicana,Rua Ipaobi,Vila Babilônia,4351050,-23.643609,-46.656038,Full Service,Normal,Não Exclusivo,False,0.0,0,18bcfd2b-ff2a-4e0f-987b-bcd714c2d297,https://www.ifood.com.br/delivery/sao-paulo-sp/guacamole-tex-mex-vila-babilonia/18bcfd2b-ff2a-4e0f-987b-bcd714c2d297
Dedo de la Chica Express,986385939.0,Comida Mexicana,R FIDALGA,PINHEIROS,5432000,-23.558778,-46.688057,Entrega+,Normal,Não Exclusivo,True,4.526879787445068,93,b9d6c141-8593-408a-8d0f-9cf1ae40203b,https://www.ifood.com.br/delivery/sao-paulo-sp/dedo-de-la-chica-express-pinheiros/b9d6c141-8593-408a-8d0f-9cf1ae40203b
Hecho en Mexico,40030053.0,Comida Mexicana,Rua Tabapuã,ITAIM BIBI,4533011,-23.58318,-46.675654,Full Service,Normal,Não Exclusivo,True,4.400000095367432,95,a084aa3a-763d-4060-9999-eb836bb9f2e4,https://www.ifood.com.br/delivery/sao-paulo-sp/hecho-en-mexico-itaim-bibi/a084aa3a-763d-4060-9999-eb836bb9f2e4
Tacomtudo - Taqueria Bra-mex,40032665.0,Comida Mexicana,Rua Verbo Divino,Chácara Santo Antônio (Zona Sul),4719002,-23.63246,-46.706724,Marketplace,Normal,Não Exclusivo,False,4.666669845581055,24,c713fb65-732c-485c-b2bd-f0666649fe60,https://www.ifood.com.br/delivery/sao-paulo-sp/tacomtudo---taqueria-bra-mex-chacara-santo-antonio-zona-sul/c713fb65-732c-485c-b2bd-f0666649fe60
Casa Mexico Brooklin,0.0,Comida Mexicana,Rua Taperoá,Cidade Monções,4571060,-23.602275,-46.691425,Full Service,Normal,Não Exclusivo,False,4.46875,32,e68fdc4d-e37a-4101-8ea2-3b20a097d3f8,https://www.ifood.com.br/delivery/sao-paulo-sp/casa-mexico-brooklin-cidade-moncoes/e68fdc4d-e37a-4101-8ea2-3b20a097d3f8
Nacholitas Cocina Mexicana,40032665.0,Comida Mexicana,Rua dos Pinheiros,Pinheiros,5422010,-23.565148,-46.681356,Full Service,Normal,Não Exclusivo,False,4.375,48,95ebcae1-bb48-43c8-b8f3-f4fb333bdf17,https://www.ifood.com.br/delivery/sao-paulo-sp/nacholitas-cocina-mexicana-pinheiros/95ebcae1-bb48-43c8-b8f3-f4fb333bdf17
Texcoco Mexican Food,56607933.0,Comida Mexicana,Rua Vinte e Três de OUtubro,Ferreira,5523020,-23.593583,-46.739312,Marketplace,Normal,Não Exclusivo,False,0.0,0,5086b578-ea25-49bf-87e6-abc593fbbadb,https://www.ifood.com.br/delivery/sao-paulo-sp/texcoco-mexican-food-ferreira/5086b578-ea25-49bf-87e6-abc593fbbadb
Comino Tex Mex Joint,40032665.0,Comida Mexicana,Rua das Fiandeiras,Vila Olímpia,4545005,-23.595218,-46.681898,Full Service,Normal,Não Exclusivo,True,4.65625,64,d3cca9ba-fcba-45a1-9d23-34c1eff5f988,https://www.ifood.com.br/delivery/sao-paulo-sp/comino-tex-mex-joint-vila-olimpia/d3cca9ba-fcba-45a1-9d23-34c1eff5f988
Ligeirinho Tex Mex,998049136.0,Comida Mexicana,Rua Iquiririm,Vila Indiana,5586000,-23.573224,-46.726489,Full Service,Normal,Não Exclusivo,False,4.692309856414795,39,65a108dc-cbaf-4904-b55e-11c9d2b66607,https://www.ifood.com.br/delivery/sao-paulo-sp/ligeirinho-tex-mex-vila-indiana/65a108dc-cbaf-4904-b55e-11c9d2b66607
Los Mex,40032665.0,Comida Mexicana,Rua da Consolação,Consolação,1302001,-23.554419,-46.661813,Full Service,Normal,Não Exclusivo,False,0.0,0,07139fd0-b586-4a2e-9f8d-b3e3eed4244a,https://www.ifood.com.br/delivery/sao-paulo-sp/los-mex-consolacao/07139fd0-b586-4a2e-9f8d-b3e3eed4244a
El Pachuco,960759474.0,Comida Mexicana,Rua Padre Carvalho,Pinheiros,5427100,-23.565936,-46.696504,Marketplace,Normal,Não Exclusivo,False,0.0,0,471ec41f-f1d4-4221-9fd1-3b919c1d807a,https://www.ifood.com.br/delivery/sao-paulo-sp/el-pachuco-pinheiros/471ec41f-f1d4-4221-9fd1-3b919c1d807a
El Martinho Mexican Food,40030053.0,Comida Mexicana,RUA ATICA,CAMPO BELO,4634042,-23.639436,-46.664325,Entrega+,City Key Account,Não Exclusivo,True,4.742569923400879,202,eecc22bb-9ece-4506-bc29-4a7c4c8b714f,https://www.ifood.com.br/delivery/sao-paulo-sp/el-martinho-mexican-food-campo-belo/eecc22bb-9ece-4506-bc29-4a7c4c8b714f
Yucatan,40030053.0,Comida Mexicana,RUA NOVA CIDADE,VILA OLIMPIA,4547070,-23.599724,-46.681088,Full Service,Normal,Não Exclusivo,True,4.669229984283447,130,92d56ee1-f78c-48c1-b2ef-a705ec9ea176,https://www.ifood.com.br/delivery/sao-paulo-sp/yucatan-vila-olimpia/92d56ee1-f78c-48c1-b2ef-a705ec9ea176
Los 3 Amigos - Moema,50520666.0,Comida Mexicana,ALAMEDA MARACATINS,Indianópolis,4089014,-23.610812,-46.664348,Marketplace,Normal,Não Exclusivo,True,4.338620185852051,189,73ffd0e7-0489-459e-9355-2ccc7f7a5904,https://www.ifood.com.br/delivery/sao-paulo-sp/los-3-amigos---moema-indianopolis/73ffd0e7-0489-459e-9355-2ccc7f7a5904
Na Tortilla,40030053.0,Comida Mexicana,Rua Taperoá,Cidade Monções,4571060,-23.602281,-46.691418,Full Service,Normal,Não Exclusivo,False,3.428570032119751,7,677d0f98-1578-4ace-94aa-f34bda4d707e,https://www.ifood.com.br/delivery/sao-paulo-sp/na-tortilla-cidade-moncoes/677d0f98-1578-4ace-94aa-f34bda4d707e
Los Bigotes de Frida,50522189.0,Comida Mexicana,Avenida Açocê,Indianópolis,4075023,-23.604081,-46.655543,Full Service,Normal,Não Exclusivo,False,4.5,4,f75fe446-c5e4-49bb-8fbd-01a071a3e7dc,https://www.ifood.com.br/delivery/sao-paulo-sp/los-bigotes-de-frida-indianopolis/f75fe446-c5e4-49bb-8fbd-01a071a3e7dc
Tacotex Sp Delivery,40030053.0,Comida Mexicana,Rua Amauri,Jardim Europa,1448000,-23.581279,-46.683562,Full Service,City Key Account,Exclusivo,False,0.0,0,d37c9e97-1575-448e-95f4-51a3573c5a9c,https://www.ifood.com.br/delivery/sao-paulo-sp/tacotex-sp-delivery-jardim-europa/d37c9e97-1575-448e-95f4-51a3573c5a9c
Guaco Itaim,999685133.0,Comida Mexicana,Rua Joaquim Floriano,Itaim Bibi,4534004,-23.585969,-46.680936,Full Service,City Key Account,Exclusivo,False,4.289309978485107,159,82a60ae5-1aea-490c-8b69-c52be72ec087,https://www.ifood.com.br/delivery/sao-paulo-sp/guaco-itaim-itaim-bibi/82a60ae5-1aea-490c-8b69-c52be72ec087
Dos Taqueria - Vila Olímpia,40030053.0,Comida Mexicana,R CONCEICAO DE MONTE ALEGRE,BROOKLIN PAULISTA,4558040,-23.602473,-46.683779,Marketplace,Normal,Não Exclusivo,True,4.627910137176514,42,8f906a1a-7486-4b62-8312-e85c9f002758,https://www.ifood.com.br/delivery/sao-paulo-sp/dos-taqueria---vila-olimpia-brooklin-paulista/8f906a1a-7486-4b62-8312-e85c9f002758
Nixtamal Taqueria,40032665.0,Comida Mexicana,RUA CORNELIO SCHIMIDT,PARQUE JABAQUARA,4357110,-23.636936,-46.652552,Full Service,Normal,Não Exclusivo,False,0.0,0,f5d3e273-729f-45a2-ab27-0e597fd6ffa5,https://www.ifood.com.br/delivery/sao-paulo-sp/nixtamal-taqueria-parque-jabaquara/f5d3e273-729f-45a2-ab27-0e597fd6ffa5
Si Señor - Moema,40030053.0,Comida Mexicana,AL JAUAPERI,MOEMA,4523012,-23.602738,-46.665139,Marketplace,Key Account,Não Exclusivo,True,4.394929885864258,276,d16d3e27-06bd-444f-886d-559851fd4263,https://www.ifood.com.br/delivery/sao-paulo-sp/si-senor---moema-moema/d16d3e27-06bd-444f-886d-559851fd4263
